length,result,reference_result,match,runtime_ms,error
2,775,775,True,33.28,
3,6497,6497,True,42.65,
4,20027,20027,True,204.35,
5,46311,46311,True,1484.82,
6,84847,84847,True,11692.71,
7,138900,138900,True,92193.44,
8,200855,200855,True,781316.02,
